id,truth,location,sentence
8103,0,in this fashion allows your app to more selectively receive events,"  Implementing listeners in this fashion allows your app to more selectively receive events , improving its design and efficiency ."
33768,1,in this file,"  In this file , add the element <ContactsAccountType?xmlns:android=""http://schemas.android.com/apk/res/android""> ."
35722,1,in this guide,"  If geofences are n't being triggered when the device enters a geofence -LRB- the GEOFENCE_TRANSITION_ENTER alert is n't triggered -RRB- , first ensure that your geofences are registered properly as described in this guide ."
206,1,in this lesson,"  You can use intents for a wide variety of tasks , but in this lesson , your intent starts another activity ."
47060,3,in this page to diagnose and fix the problem,"  If your app is waking up the device excessively , you can use the guidance in this page to diagnose and fix the problem ."
55522,1,in this way,"  In this way , you can easily maintain a uniform implementation of licensing across all of your projects and maintain it centrally ."
46483,1,in those tests,"  Implement an idling resource in your app 's tests , and expose the part of your app 's implementation that needs to be synchronized in those tests ."
54377,1,in to your application,"  Subsequently , when the user starts up or logs in to your application , you should check if the user owns any outstanding consumable in-app products ; if so , make sure to consume and provision those items ."
46598,1,in use in the Sunflower demo app,  See it in use in the Sunflower demo app .
32876,3,in Using an intent to insert an event -- in thatscenario,"  Note that this rule does not apply ifyou 're inserting an event through the INSERT Intent , described in Using an intent to insert an event -- in thatscenario , you can use an RRULE in conjunction with DTSTART and DTEND , and the Calendar applicationconverts it to a duration automatically ."
21769,1,in XML,"  To define a range of text sizes and a dimension in XML , use the android namespace and set the following attributes :"
21779,1,in XML,"  To use preset sizes to set up the autosizing of TextView in XML , use the android namespace and set the following attributes :"
35542,1,in your activity 's onPause -LRB- -RRB- method,"  Set the shared preference in your activity 's onPause -LRB- -RRB- method , and retrieve the preference in onResume -LRB- -RRB- ."
6745,3,in your activity by using the WearableActivity class,  You can enable ambient mode in your activity by using the WearableActivity class :
43768,1,in your APK 's AndroidManifest.xml as follows,"  Each of your app 's manifest files must reference a unique package , so update the name in your APK 's AndroidManifest.xml as follows :"
33164,1,in your app,"  Note : To modify a single raw contact , consider sending an intent to the device 's contacts application rather than handling the modification in your app ."
10966,1,in your app,"  For a more detailed example on how to implement voice search to play audio content in your app , see the Universal Media Player sample ."
40733,1,in your app,"  In your app , you can specify whether users see a list of possible companion devices or only one suggestion for a companion device ."
35391,1,in your app,  You can use lifecycle-aware components to better manage the lifecycle of the activities in your app .
10827,1,in your app,"  You can register a broadcast receiver in your app , preferably in your MediaBrowserService implementation and listen for this intent and adjust advertisements , metadata , and UI buttons in your app to operate safely in a vehicle ."
49475,1,in your app,"  By providing increased contrast ratios between the foreground and background colors in your app , you make it easier for users to navigate within and between screens ."
10770,1,in your app 's manifest -LRB- AndroidManifest.xml -RRB-,"  In your app 's manifest -LRB- AndroidManifest.xml -RRB- , provide a reference to the Auto XML configuration file you created in the previous section ."
9867,3,in your app and requests to add it to the home screen,  User discovers a channel in your app and requests to add it to the home screen .
49472,3,in your app has a large enough touch target,"  To ensure that each focusable item in your app has a large enough touch target , set the android : minWidth and android : minHeight attributes of each interactive element to 48dp or greater :"
31261,1,in your app manifest that NFC is optional,"  To specify in your app manifest that NFC is optional , you use the following element :"
48504,1,in your app such as increased RAM use,"  Regular protobufs generate extremely verbose code , which can cause many kinds of problems in your app such as increased RAM use , significant APK size increase , and slower execution ."
30591,1,in your app that is accessible at install time,"  Tip : If you need to package a file in your app that is accessible at install time , save the file in your project 's res/raw / directory ."
1147,1,in your application,"  Once you provide a resource in your application , you can apply it by referencing its resource ID ."
55455,1,in your application,  Including the LVL library project in your application
23384,1,in your application,"  Once you define the information model , you can begin to define the contexts necessary to enable users to effectively discover , view , and act upon the data in your application ."
41065,1,in your application 's manifest file,"  You can specify an intent filter in your application 's manifest file , or do it in code as in the SipDemo sample application 's onCreate -LRB- -RRB- method of the application 's Activity :"
37337,1,in your application 's the execution,"  Do not attempt to start face detection in the onCreate -LRB- -RRB- method of your camera app 's main activity , as the preview is not available by this point in your application 's the execution ."
27156,3,in your application and do not obtain the smooth results you want,"  If you are running an animation in your application and do not obtain the smooth results you want , consider enabling hardware layers on your animated views ."
39106,1,in your application manifest file,  Declare the Bluetooth permission -LRB- s -RRB- in your application manifest file .
55872,1,in your applications,"  If you have questions or encounter problems while implementing or deploying publishing in your applications , please use the support resources listed in the table below ."
18032,1,in your code,"  In your code , create a bundle and pass it to thedestination using the navigate -LRB- -RRB- method :"
25940,1,in your code,"  Or to instead assign a state list animator to a view in your code , use the AnimatorInflater.loadStateListAnimator -LRB- -RRB- method , and assign the animator to your view with the View.setStateListAnimator -LRB- -RRB- method ."
26675,1,in your code instead,"  To enable window content transitions in your code instead , call the Window.requestFeature -LRB- -RRB- method :"
34164,3,in your code to get the thumbnail Bitmap,"  Call the loadContactPhotoThumbnail -LRB- -RRB- method in your code to get the thumbnail Bitmap , and use the result to set the photo thumbnail in your QuickContactBadge :"
49954,1,in your device Settings,"  In your device Settings , select Sound , then set the media volume to zero ."
52337,1,in your DPC,"  To use the Play EMM API , download the DPC Support Library and then enable managed configurations support in your DPC ."
27491,1,in your drawn object 's constructor,"  Do this in your drawn object 's constructor , so it is only done once ."
36479,3,in your game to allow users to personalize their own game controller mappings for game actions,  Tip : Consider providing a configuration screen in your game to allow users to personalize their own game controller mappings for game actions .
7675,1,in your IME implementation,"  In your IME implementation , set the boolean supportsSwitchingToNextInputMethod = true to enable your IME to support the switching mechanism -LRB- so that apps can switch to the next platform-supported IME -RRB- ."
44593,1,in your installed app,"  On devices runningAndroid 7.1 -LRB- API level 25 -RRB- and lower , you can transfer your Instant App ` sstorage data to your installed app by calling getInstantAppData -LRB- -RRB- in your installed app ."
44751,1,in your instant app,  Consider using Firebase Dynamic Links to wrap your URLs and guarantee that links always open in your instant app .
44239,1,in your instant app module 's build.gradle file,  Specify minSdkVersion = 21 in your instant app module 's build.gradle file
17555,1,in your layout as follows,  Use this event handler in your layout as follows :
17547,1,in your layout as shown in the following example,  You can use the adapter in your layout as shown in the following example .
55829,1,in your main Activity,"  In your main Activity , add a call to the checkAccess -LRB- -RRB- method of the LicenseChecker instance ."
30955,1,in your manifest,"  Similarly , you can advertise the data types that your activities support receiving from other applications by specifying them in your manifest ."
32048,1,in your manifest file,"  To change this , set permissions for your provider in your manifest file , using attributes or child elements of the <provider> element ."
7647,3,in your manifest file to make it a Wear-specific IME,"  To learn how to create an input method for wear , follow the guide to Creating an Input Method on handsets and add the following Google Play filters in your manifest file to make it a Wear-specific IME ."
31030,1,in your menu resource file,"  To get started with ShareActionProviders , define the android : actionProviderClass attribute for the corresponding <item> in your menu resource file :"
55731,1,in your Obfuscator,"  Before requesting new permissions for the sole purpose of acquiring device-specific information for use in your Obfuscator , consider how doing so might affect your application or its filtering on Google Play -LRB- since some permissions can cause the SDK build tools to add the associated <uses-feature> -RRB- ."
30981,1,in your own ContentProvider,"  Store the data in your own ContentProvider , making sure that otherapps have the correct permission to access your provider ."
37335,1,in your preview class,"  If you use the preview class shown in Creating a preview class , add your startFaceDetection -LRB- -RRB- method to both the surfaceCreated -LRB- -RRB- and surfaceChanged -LRB- -RRB- methods in your preview class , as shown in the sample code below ."
9880,1,in your program,"  To work with channels and programs , be sure to include these support library imports in your program :"
45845,1,in your project,  Make sure to specify AndroidJUnitRunner as the default instrumentation runner in your project .
43162,1,in your project-level build.gradle,"  If you 're not using Android Studio , make sure to update the plugin in your project-level build.gradle , as shown in the following snippet :"
18066,1,in your receiving destination 's code,"  In your receiving destination 's code , use the getArguments -LRB- -RRB- method to retrieve the bundle and use its contents :"
10123,1,in your recommendation service class ' onHandleIntent -LRB- -RRB- method,"  In your recommendation service class ' onHandleIntent -LRB- -RRB- method , post the recommendation to the manager as follows :"
10388,1,in your session 's getTvPlayer -LRB- -RRB- method,"  In your session 's getTvPlayer -LRB- -RRB- method , return your media player that implements TvPlayer ."
45642,1,in your test,"  To use these methods in your test , import the org.hamcrest.Matchers package ."
32639,1,in your test,"  Verify that this is the service that you want to use in your test , and tap Save ."
48767,1,in your UI -RRB-,"  If your application is doing work in the background in response to user input , show that progress is being made -LRB- such as with a ProgressBar in your UI -RRB- ."
45752,1,in your UI Automator test class,  Implement the following programming model in your UI Automator test class :
22218,1,in your XML layout,"  To define the click event handler for a button , add the android : onClick attribute to the <Button> element in your XML layout ."
5816,1,inside res /,"  To add support for more locales , create additional directories inside res / ."
39833,1,inside the <activity> element like in the following example,"  In your AndroidManifest.xml file , specify the resource file that you just created in the <meta-data> element inside the <activity> element like in the following example :"
8856,1,inside the Engine.onDraw -LRB- -RRB- method,"  When possible , avoid performing these operations inside the Engine.onDraw -LRB- -RRB- method :"
42280,2,into a layer and then composite it back on screen with an opacity factor .,"  The functions below can be used to query the characteristics of an Allocation , Element , or Sampler object ."
39198,2,into a shortcut at all .,  The current Android Bluetooth API 's require devices to be pairedbefore an RFCOMM connection can be established .
35506,2,into groups for each account ensures that users can easily distinguish between them .,"  In response , the API updates your app periodically with the best available location , based on the currently-available location providers such as WiFi and GPS -LRB- Global Positioning System -RRB- ."
48207,2,into its subfields within a table .,"  You may choose to increase the update frequency of a sports center app when it 's in the desktop dock , or disable your updates completely if the device is car docked ."
54251,2,into onRestore LRB RRB .,"  Otherwise , the user will lose access to subscription ."
17319,2,into reality in Prototype devices,  new
44889,2,on a shaper to destroy it immediately .,  This shows a prompt to the user to install the regular APK version of the app .
37807,2,on action items,  Table 1 .
41555,2,on Android using various APIs for bitmaps,  The combiner function for this kernel performs addition ; zero is the identity value for addition .
33273,2,on another device .,"  Collects the user 's name , password or similar information -LRB- the user 's credentials -RRB- ."
10160,2,on designing great watch apps .,"  In your manifest file , the content provider receives special treatment ."
325,2,on Mac RRB .,"  Because the system runs each app in a separate process with file permissions that restrict access to other apps , your app can not directly activate a component from another app ."
5023,2,on platforms that support the runtime permissions model,"  Do n't let the cutout area obscure any important text , controls , or other information ."
17173,2,on the Android device .,"  You can add all dependencies , or choose a subset ."
51116,2,on the AutofillManager object .,"  Usually , this method corresponds to the user 's selecting a UI element , such as a button , in your activity ."
24090,2,on the available screen space .,"  The DialogFragment class provides all the controls you need to create your dialog and manage its appearance , instead of calling methods on the Dialog object ."
12873,2,on the canvas .,"  To push a software update for your products , you need to determine which update channel on which to push the update ."
10221,2,on the configurations on the Creating,  The following sample code demonstrates this technique .
6986,2,on the right and bottom edges .,"  Traditionally , Wear 1.0 APKs were embedded in phone APKs for distributing wearable apps to users ."
10273,2,on the screen,  This element should be accessible with the D-pad navigation buttons .
40940,2,on the spring .,"  In your activity , you can obtain the UsbDevice that represents the attached device from the intent like this :"
33493,2,on the TextView 's characteristics and boundaries .,"  If an application or sync adapter creates a new raw contact that does match an existing contact , the new raw contact is aggregated to the existing contact ."
14044,2,on TV devices configured to support USB debugging,  All
21284,2,on your Chromebook .,  You must handle the padding values when you calculate your view 's size .
30595,2,on your Intent object .,  You can not write to the original file .
13947,1,under Linux,  See the full instructions for more information about installing Android Studio under Linux .
34896,1,under Pending key/value backup,  Run adb shell dumpsys backup and check that your app is listed in the output of the command under Pending key/value backup .
46073,1,under Settings > Developer options,"  On your device , under Settings > Developer options , disable the following 3 settings :"
12733,1,under Sharing,"  To share your product with other Android Things Console users , click ADD MORE PEOPLE under Sharing ."
32305,3,under the root of your document provider by overriding the queryRecentDocuments -LRB- -RRB- method and returning FLAG_SUPPORTS_RECENTS,"  You can provide a list of recently modified documents under the root of your document provider by overriding the queryRecentDocuments -LRB- -RRB- method and returning FLAG_SUPPORTS_RECENTS , The following code snippet shows an example of how to implement the queryRecentDocuments -LRB- -RRB- methods ."
10166,2,with a custom layout .,  It inlcudes the android : searchSuggestAuthority attribute to tell the system the namespace of your content provider .
14468,2,with a D pad on a TV device :,  The <data> element specifies the type of data that this activity can send .
9851,2,with a phone .,  A channel contains cards for every program available on that channel :
50486,2,with a unique request code .,  Services that are accessible to multiple applications should be accessed using AccountManager .
23365,2,with a unique string .,  Java is a registered trademark of Oracle and/or its affiliates .
48134,2,with a View and Android Persistence codelabs .,"  Almost all apps should be able to support Doze by managing network connectivity , alarms , jobs , and syncs properly , and by using FCM high-priority messages ."
28529,2,with a View and Android Persistence codelabs .,  This means your app can receive new intents to start playback while its playback activity is already launched and active .
14652,2,with a view holder for the card view that describes your media content items .,  Your activity does not reside in the Created state .
38370,2,with a way to clear their search history .,"  If your issue has n't been reported , file a bug with the word Cronet in the summary line ."
11408,2,with a WearableDrawerLayout object as the root view of the layout .,  Android Things provides you with a wide selection of developer kits that come with a supported SoM -LRB- System on Module -RRB- and a development board to get you started quickly .
40148,2,with an Animation .,  In the first part of the exchange the HCE device will present its UID ; HCE devices should be assumed to have a random UID .
33226,2,with an Animation RRB .,  Contacts Provider Intents .
24435,2,with an Intent,"  For instance , figure 1 shows a screenshot from the Messaging app 's settings ."
23424,2,with another,  Many desktop applications and websites offer a left-hand navigation pane or use a master/detail two-pane layout .
50937,2,with autofill .,"  For example , you might choose to request a compatibility check upon login and run re-checks at most once every 30 minutes ."
16400,2,with both D pad and game controllers .,  The following scenarios demonstrate a few use cases for each shortcut type :
279,2,with ConstraintLayout .,  Resources that are separate from the app code and that allow your app togracefully optimize its behavior for a variety of device configurations .
24396,2,with corresponding XML elements nested in the <intent filter> element .,"  So , it should only be used when creating a Menu in onCreateContextMenu -LRB- -RRB- ."
28352,2,with either Room or PositionalDataSource,"  To provide a consistent media button experience across all apps , you should use the default behavior and only deviate for a specific purpose ."
32608,2,with element attributes .,"  Then , replace the token property of the saved parameters with the token property of the parent activity in the onAttachedToWindow -LRB- -RRB- method ."
30259,2,with JobScheduler .,"  Because a receiver 's onReceive -LRB- Context , Intent -RRB- method runs onthe main thread , it should execute and return quickly ."
44885,2,with join = true .,  Use the isInstantApp -LRB- -RRB- method .
13879,2,with just a directional pad and a select button .,"  To get proper input focus activation , you should follow the normal resource additions as outlined in the default Android API :"
43186,2,with layout inspector .,  Consider an app with three dynamic feature modules and support for multiple device configurations .
27496,2,with other developers .,"  Since drawing options can vary by shape , it 's a good idea to have your shape classes contain their own drawing logic ."
3040,2,with other simple resources in the one XML file,  A provider can contain any number of <grant-uri-permission> elements .
47328,2,with setPackage LRB String RRB when sending abroadcast .,  This helps you find individual janky framesmore accurately than visual inspection .
37896,2,with startActivity LRB RRB during the appropriate on item selected callback method LRB such as the onOptionsItemSelected LRB RRB callback RRB .,  The offset of the standby clock that keeps time when the receiver resets theduty cycle of the primary oscillator .
36059,2,with SYSTEM_UI_FLAG_FULLSCREEN and SYSTEM_UI_FLAG_HIDE_NAVIGATION .,  VelocityTracker helps you track the velocity of touch events .
36905,2,with TaskStackBuilder .,  Override onStartInput -LRB- -RRB- or onStartInputView -LRB- -RRB- and read the list of supported content types from thetarget editor .
48658,2,with that action item .,"  Depending on what your application does , this could be bad news ."
52568,2,with that ID .,"  The device owner also receives ServiceConnection callbacks , such as onServiceDisconnected -LRB- -RRB- , if it 's bound to a service in a work profile that becomes unavailable ."
30345,2,with the ACTION_SEND action,"  The net result is that the app might not finish doing the work until some arbitrary point in the future , which is not what you want ."
1351,2,with the android package name .,"  xml -RRB- that includes a definition for text_a , but not for text_b :"
3207,2,with the following manifest tag :,"  Whether or not the content provider is direct-boot aware ; that is , whether or not it can run before the user unlocks the device ."
36844,2,with the ID android.R.id.home .,"  A value of false tells the system to treat all subtypes equally , regardless of what IME they belong to ."
55410,2,with the isLocationAvailable LRB RRB method,"  A full test environment is also available through the SDK , so you can develop and test the licensing implementation in your applications before publishing them , even if you do n't have access to a physical device ."
40406,2,with the LayoutTransition class .,  Your app has the ACCESS_FINE_LOCATION or ACCESS_COARSE_LOCATION permission .
37339,2,with the message text .,  This feature uses MediaRecorder to record the images for a time lapse sequence .
39889,2,with version specific implementations to provide backward compatibility .,"  If you still want to filter for scanned tags that do not contain an AAR , you can declare intent filters as normal ."
3466,2,with Wide Color Content .,"  Strictly speaking , every application should always declare all features that it uses or requires , so the absence of a declaration for a feature used by an application should be considered an error ."
28739,2,with WorkManager :,  The implementation of the methods in this class is entirely dependent on the programmatic interface provided by your receiving device .
37083,2,with your implementation to apply your custom animations .,"  Well , having your preview surface destroyed is a pretty good hint that it 's time to stop the preview and release the camera , as shown in these methods from the Preview class ."
42301,1,within a kernel,  Samplers objects define how Allocations can be read as structure within a kernel .
25918,1,within a ViewGroup with the LayoutTransition class,  You can animate layout changes within a ViewGroup with the LayoutTransition class .
30192,1,within an Activity context,"  For an example , if you register within an Activity context , you receive broadcasts as long asthe activity is not destroyed ."
51602,1,within that directory,  Getting access to a specific external directory also gains access to subdirectories within that directory .
30770,1,within the @Entity annotation,"  To add indices to an entity , include the indices property within the @Entity annotation , listing the names of the columns that you want to include in the index or composite index ."
26283,1,within the minimum and the maximum range,  -LRB- Optional -RRB- Set a value range : Set the animation value range to restrain values within the minimum and the maximum range .
