id,truth,goal,sentence
21724,1,to define a range of text sizes and a dimension programmatically through the support library,"  To define a range of text sizes and a dimension programmatically through the support library , call the TextViewCompat.setAutoSizeTextTypeUniformWithConfiguration -LRB- int autoSizeMinTextSize , int autoSizeMaxTextSize , int autoSizeStepGranularity , int unit -RRB- method ."
49873,1,so that the service is called when applications fire an AccessibilityEvent,"  Remember to specify that it handles the android.accessibilityservice intent , so that the service is called when applications fire an AccessibilityEvent ."
52610,1,to create a short message,"  To create a short message , use the setShortSupportMessage -LRB- -RRB- method ."
12863,1,to add a new version of an existing app,"  To add a new version of an existing app , click the ellipses at the end of an app entry in the table and select View app ."
17261,1,to enable the new data binding compiler,"  To enable the new data binding compiler , add the following option to your gradle.properties file :"
45710,1,so that the users can select recipients to send the message to,"  An example of such a user flow is a messaging app that lets the user enter a text message , launches the Android contact picker so that the users can select recipients to send the message to , and then returns control to the original app for the user to submit the message ."
10614,1,to tell the system that your TV input service supports recording,"  To tell the system that your TV input service supports recording , set the android : canRecord attribute in your service metadata XML file to true :"
42300,1,to create complex Elements,"  To create complex Elements , use the Element.Builder Java class ."
43389,1,to learn more about bundletool,"  To learn more about bundletool , read about how to Test Android App Bundles with bundletool ."
43759,,to do so,"  To do so , follow the instructions in these code snippets :"
16412,1,to create a static shortcut,"  To create a static shortcut , complete the following sequence of steps :"
7517,1,to display the navigation drawer contents in multiple pages,"  To display the navigation drawer contents in multiple pages , use the app : navigationStyle attribute with a value set to multiPage ."
15532,1,to create a fragment,"  To create a fragment , extend the Fragment class , then override key lifecycle methods to insert your app logic , similar to the way you would with an Activity class ."
50061,2,to do so,"  To do so , obtain an AccessibilityValidator object by calling the enable -LRB- -RRB- method of the AccessibilityChecks class , then use the returned AccessibilityValidator 's setSuppressingResultMatcher -LRB- -RRB- method to configure a suppressing matcher ."
21616,1,to learn how to create adaptive icons using Android Studio,"  To learn how to create adaptive icons using Android Studio , see Create App Icons with Image Asset Studio ."
44441,1,to makes authentication easier for users,"  To makes authentication easier for users , provide support for Google Smart Lock in your instant app ."
12764,1,to add additional build resources,"  To add additional build resources , click UPLOAD ."
45561,1,in order to perform testing tasks that cover specific usage scenarios,"  In your test code , you can use UI testing frameworks to simulate user interactions on the target app , in order to perform testing tasks that cover specific usage scenarios ."
8576,1,to start the provider chooser,"  To start the provider chooser , call the ComplicationHelperActivity.createProviderChooserHelperIntent method , to obtain an intent ."
31710,1,to insert data into a provider,"  To insert data into a provider , you call the ContentResolver.insert -LRB- -RRB- method ."
40615,1,to send a message,"  To send a message , call sendMessage -LRB- -RRB- ."
6202,1,to decide when to use expanded notifications,"  To decide when to use expanded notifications , follow these guidelines :"
1240,1,to demonstrate how Android selects an alternative resource,"  To demonstrate how Android selects an alternative resource , assume the following drawable directories each contain different versions of the same images :"
54254,1,to determine how much time the user has in the grace period,"  To determine how much time the user has in the grace period , call the Google Play Developer API ."
676,1,to avoid any issues,"  To avoid any issues , always include a set of default resources -LRB- a set of resources with no qualifiers -RRB- ."
21767,1,to define a range of text sizes and a dimension programmatically,"  To define a range of text sizes and a dimension programmatically , call the setAutoSizeTextTypeUniformWithConfiguration -LRB- int autoSizeMinTextSize , int autoSizeMaxTextSize , int autoSizeStepGranularity , int unit -RRB- method ."
53251,1,to make a keyunselectable,"  To make a keyunselectable , call the following DevicePolicyManager methods :"
54076,1,to view the available product detail information,"  To view the available product detail information , see the list of methods in the SkuDetails class ."
55502,1,to download the LVL package into your development environment,"  To download the LVL package into your development environment , use the Android SDK Manager ."
9674,1,to add subactions,"  To add subactions , first create and populate a list of GuidedActions that will act as subactions :"
53281,1,to disable all biometric authentication methods provided by the device,"  To disable all biometric authentication methods provided by the device , add KEYGUARD_DISABLE_BIOMETRICS ."
34420,1,to include multiple files,"  To include multiple files , use multiple <include> elements ."
28438,1,to create an AudioFocusRequest,"  To create an AudioFocusRequest , use an AudioFocusRequest.Builder ."
13629,1,to fill the screen with more information,"  To fill the screen with more information , you can specify different layouts , or you could create the layout dynamically for the requested size ."
30506,2,to learn more,"  To learn more , read how to save a file on internal storage ."
20677,1,to set the corner radius in your code,"  To set the corner radius in your code , use the CardView.setRadius method ."
26334,1,to set the minimum value,"  To set the minimum value , call the setMinValue -LRB- -RRB- method and pass the minimum value of the property ."
13741,1,to enter Developer mode,"  To enter Developer mode , complete these steps :"
54083,1,to start a purchase request from your app,"  To start a purchase request from your app , call the launchBillingFlow -LRB- -RRB- method from the UI thread ."
55367,1,to learn more about Google Play 's application licensing service and start integrating it into your applications,"  To learn more about Google Play 's application licensing service and start integrating it into your applications , read the following documents :"
54671,1,to validate purchase details on a trusted server,"  To validate purchase details on a trusted server , complete the following steps :"
21617,1,to add an adaptive icon to an app using XML,"  To add an adaptive icon to an app using XML , begin by updating the android : icon attribute in your app manifest to specify a drawable resource ."
20456,1,to add a constraint,"  To add a constraint , do the following :"
38408,1,to start the network task,"  To start the network task , call the start -LRB- -RRB- method of the request :"
20870,1,to add data into the layout that you create in your app 's UI,"  To add data into the layout that you create in your app 's UI , add code similar to the following :"
51603,1,to use Scoped Directory Access to access directories on removable media,"  To use Scoped Directory Access to access directories on removable media , first add a BroadcastReceiver that listens for the MEDIA_MOUNTED notification , for example :"
40887,1,to listen for detached events,"  To listen for detached events , create a broadcast receiver like below :"
20004,1,to call a taxi,"  To call a taxi , use the ACTION_RESERVE_TAXI_RESERVATION action ."
10104,1,in order to your application to contribute to recommendations,"  In order for your application to contribute to recommendations , create a service that periodically adds listings from your app 's catalog to the system 's list of recommendations ."
2002,1,in order to convert it to a bitmap,"  If you plan on reading an image as a bit stream in order to convert it to a bitmap , put your images in the res/raw / folder instead , where they will not be optimized ."
36788,1,to test it for the text field 's input type,"  To test it for the text field 's input type , mask it with the constant TYPE_MASK_CLASS , like this :"
9764,1,to customize the animation that appears on your first page,"  To customize the animation that appears on your first page , override onCreateEnterAnimation -LRB- -RRB- and return an Animator ."
45820,1,to verify that a BroadcastReceiver responds correctly,"  To verify that a BroadcastReceiver responds correctly , you can test the component that sends it an Intent object ."
24541,1,in order to load the `` legacy '' headers file -LRB- preference_headers_legacy.xml -RRB-,"  In order to load the `` legacy '' headers file -LRB- preference_headers_legacy.xml -RRB- , you must check the Android version and , if the version is older than Android 3.0 -LRB- HONEYCOMB -RRB- , call addPreferencesFromResource -LRB- -RRB- to load the legacy header file ."
18871,1,to allow null values on string and parcelable arguments,"  To allow null values on string and parcelable arguments , add app : nullable = `` true '' b/79642307"
49472,1,to ensure that each focusable item in your app has a large enough touch target,"  To ensure that each focusable item in your app has a large enough touch target , set the android : minWidth and android : minHeight attributes of each interactive element to 48dp or greater :"
19940,1,to have the user select a contact and provide your app access to all the contact information,"  To have the user select a contact and provide your app access to all the contact information , use the ACTION_PICK action and specify the MIME type to Contacts.CONTENT _ TYPE ."
31123,1,to set up the file selection Activity,"  To set up the file selection Activity , start by specifying the Activity in your manifest , along with an intent filter that matches the action ACTION_PICK and the categories CATEGORY_DEFAULT and CATEGORY_OPENABLE ."
28937,1,to access the DRM properties,"  To access the DRM properties , call getDrmPropertyString -LRB- -RRB- and setDrmPropertyString -LRB- -RRB- ."
52248,1,to simplify interaction with AccountManager,"  To simplify interaction with AccountManager , use the helper function -LRB- shown in the example below -RRB- from the DPC Support Library ."
12217,1,to avoid polling the UART unnecessarily when the buffer is empty,"  To avoid polling the UART unnecessarily when the buffer is empty , register a UartDeviceCallback with the UartDevice ."
24478,1,to display your settings in an activity,"  To display your settings in an activity , extend the PreferenceActivity class ."
37147,1,to access the primary camera,"  To access the primary camera , use the Camera.open -LRB- -RRB- method and be sure to catch any exceptions , as shown in the code below :"
27250,1,to solve this problem,"  To solve this problem , you can apply OpenGL projection modes and camera views to transform coordinates so your graphic objects have the correct proportions on any display ."
25427,1,to copy the data stream to the clipboard,"  To copy the data stream to the clipboard , construct the content URI and place it on the clipboard ."
26675,1,to enable window content transitions in your code instead,"  To enable window content transitions in your code instead , call the Window.requestFeature -LRB- -RRB- method :"
50194,1,to determine whether Google Play services is up to date on the device where your app is installed,"  To determine whether Google Play services is up to date on the device where your app is installed , follow the steps in the guide for Updating Your Security Provider to Protect Against SSL Exploits ."
46015,1,to learn more about performance tests on Android,"  To learn more about performance tests on Android , see Automated Performance Testing Codelab ."
54041,1,to configure a one-time product,"  To configure a one-time product , refer to Create a managed product ."
53018,1,to start logging network activity,"  To start logging network activity , call the DevicePolicyManager method setNetworkLoggingEnabled -LRB- -RRB- and pass true as the enabled argument ."
11798,1,to configure the enabled Bluetooth profiles on the local device,"  To configure the enabled Bluetooth profiles on the local device , use the BluetoothProfileManager ."
31969,2,to do this,"  To do this , you can ignore the call to insert -LRB- -RRB- and return 0 ."
6822,1,to learn how to authenticate your user on the backend server,"  To learn how to authenticate your user on the backend server , see Authenticate with a backend server ."
16469,1,to pin a shortcut to a supported launcher using your app,"  To pin a shortcut to a supported launcher using your app , complete the following sequence of steps :"
29143,2,to do this,"  To do this , use an instance of ThreadPoolExecutor , which runs a task from a queue when a thread in its pool becomes free ."
47345,1,to fix jank,"  To fix jank , inspect which frames are n't completing in 16.7 ms , and look for what is going wrong ."
15371,1,to return a layout from onCreateView -LRB- -RRB-,"  To return a layout from onCreateView -LRB- -RRB- , you can inflate it from a layout resource defined in XML ."
38593,1,to ensure that your caching does n't result in your app displaying stale data,"  To ensure that your caching does n't result in your app displaying stale data , be sure to extract the time at which the requested content was last updated , and when it expires , from within the HTTP response headers ."
8366,1,to configure these aspects of the system UI,"  To configure these aspects of the system UI , create a WatchFaceStyle instance and pass it to the Engine.setWatchFaceStyle -LRB- -RRB- method ."
54508,1,to verify that the method is reported,"  To verify that the method is reported , send an isBillingSupported AIDL request ."
21463,1,to provide your users a familiar experience,"  To provide your users a familiar experience , use material 's most common UX patterns :"
17810,1,to keep the example simple,"  To keep the example simple , you can implement the LiveData class as a singleton as follows :"
53176,1,to add a restriction,"  To add a restriction , call DevicePolicyManager.addUserRestriction -LRB- -RRB- with one of the following UserManager constants :"
23778,1,to allow Up navigation with the app icon in the action bar,"  To allow Up navigation with the app icon in the action bar , call setDisplayHomeAsUpEnabled -LRB- -RRB- :"
11195,1,to use a prerecorded sound file as input,"  To use a prerecorded sound file as input , enter this command :"
